1;(1);Andersson;235 299;(238 843);
2;(2);Johansson;234 459;(238 259);
3;(3);Karlsson;208 849;(212 126);
4;(4);Nilsson;160 687;(163 029);
5;(5);Eriksson;140 039;(141 745);
6;(6);Larsson;117 826;(119 454);
7;(7);Olsson;106 945;(108 599);
8;(8);Persson;101 185;(102 721);
9;(9);Svensson;94 812;(96 369);
10;(10);Gustafsson;92 195;(93 399);
11;(11);Pettersson;89 751;(91 137);
12;(12);Jonsson;70 164;(71 130);
13;(13);Jansson;47 172;(47 858);
14;(14);Hansson;41 586;(42 174);
15;(15);Bengtsson;32 545;(32 923);
16;(16);Jönsson;29 939;(30 506);
17;(17);Lindberg;27 473;(27 569);
18;(18);Jakobsson;26 058;(26 262);
19;(19);Magnusson;25 707;(25 964);
20;(20);Olofsson;25 129;(25 480);
21;(21);Lindström;24 710;(24 849);
22;(22);Lindqvist;22 739;(22 878);
23;(23);Lindgren;22 636;(22 805);
24;(24);Axelsson;22 124;(22 307);
25;(25);Berg;21 664;(21 677);
26;(26);Bergström;21 006;(21 118);
27;(27);Lundberg;20 909;(21 025);
28;(28);Lundgren;20 272;(20 376);
29;(29);Lind;20 241;(20 277);
30;(30);Lundqvist;19 903;(20 025);
31;(31);Mattsson;19 349;(19 523);
32;(32);Berglund;18 980;(19 088);
33;(33);Fredriksson;17 994;(18 108);
34;(34);Sandberg;17 582;(17 662);
35;(35);Henriksson;17 223;(17 340);
36;(36);Forsberg;16 515;(16 568);
37;(37);Sjöberg;16 326;(16 414);
38;(38);Wallin;15 916;(15 939);
39;(39);Engström;15 445;(15 518);
40;(40);Eklund;15 246;(15 299);
41;(41);Danielsson;15 112;(15 228);
42;(43);Lundin;14 964;(15 052);
43;(42);Håkansson;14 912;(15 090);
44;(45);Björk;14 236;(14 282);
45;(44);Gunnarsson;14 234;(14 349);
46;(46);Bergman;14 180;(14 232);
47;(47);Holm;14 071;(14 192);
48;(48);Samuelsson;13 892;(14 030);
49;(50);Wikström;13 874;(13 888);
50;(57);Ali;13 791;(12 754);
51;(49);Fransson;13 752;(13 915);
52;(51);Isaksson;13 641;(13 735);
53;(59);Mohamed;13 637;(12 607);
54;(52);Bergqvist;13 377;(13 422);
55;(53);Nyström;13 174;(13 257);
56;(54);Arvidsson;13 096;(13 232);
57;(55);Holmberg;13 049;(13 099);
58;(56);Löfgren;12 765;(12 862);
59;(58);Söderberg;12 602;(12 662);
60;(60);Nyberg;12 518;(12 578);
61;(61);Blomqvist;12 394;(12 493);
62;(62);Claesson;12 342;(12 471);
63;(64);Nordström;12 105;(12 143);
64;(63);Mårtensson;12 041;(12 194);
65;(65);Lundström;11 761;(11 807);
66;(66);Eliasson;11 367;(11 479);
67;(68);Viklund;11 365;(11 427);
68;(67);Pålsson;11 317;(11 460);
69;(69);Björklund;11 291;(11 357);
70;(70);Berggren;11 109;(11 157);
71;(71);Sandström;10 788;(10 804);
72;(72);Lund;10 671;(10 769);
73;(73);Nordin;10 611;(10 659);
74;(74);Ström;10 501;(10 567);
75;(75);Åberg;10 413;(10 459);
76;(76);Hermansson;10 322;(10 407);
77;(77);Ekström;10 206;(10 240);
78;(78);Holmgren;10 121;(10 143);
79;(90);Ahmed;10 079;(9 361);
80;(80);Falk;9 983;(9 948);
81;(92);Hassan;9 921;(9 183);
82;(79);Hedlund;9 889;(9 984);
83;(82);Dahlberg;9 876;(9 886);
84;(81);Sundberg;9 863;(9 931);
85;(83);Hellström;9 856;(9 879);
86;(84);Sjögren;9 738;(9 804);
87;(85);Abrahamsson;9 506;(9 591);
88;(86);Ek;9 499;(9 488);
89;(87);Blom;9 462;(9 485);
90;(88);Martinsson;9 421;(9 483);
91;(89);Öberg;9 359;(9 431);
92;(91);Andreasson;9 187;(9 266);
93;(93);Månsson;9 085;(9 157);
94;(94);Strömberg;9 026;(9 082);
95;(95);Åkesson;8 869;(8 964);
96;(96);Hansen;8 752;(8 804);
97;(98);Norberg;8 714;(8 751);
98;(97);Jonasson;8 709;(8 790);
99;(Ny);Lindholm;8 621;(8 667);
100;(100);Sundström;8 619;(8 679);
