0-4 år,		311036,	293462
5-9 år,		318534,	300939
10-14 år,	306645,	289113
15-19 år,	293802,	265711
20-24 år,	311168,	286425
25-29 år,	380948,	360374
30-34 år,	354455,	335686
35-39 år,	328012,	312107
40-44 år,	323915,	311921
45-49 år,	333690,	324649
50-54 år,	349187,	338662
55-59 år,	302734,	296233
60-64 år,	282697,	282369
65-69 år,	271523,	277788
70-74 år,	275471,	288177
75-79 år,	190937,	209682
80-84 år,	115206,	146321
85-89 år,	62775,	99528
90-94 år,	24347,	51900
95-99 år,	4994,	14995
100- år,	362,	1 705
